IP,"Reverse DNS","Best-guess OS fingerprint","OS guess accuracy"
106.8.19.93,,"Linux 2.4.33 (embedded)",96
107.13.168.218,twdp-107-013-168-218.nc.res.rr.com,VxWorks,99
107.6.104.130,,"Asus RT-AC66U router (Linux 2.6)",95
107.6.106.74,,"HP P2000 G3 NAS device",97
108.129.14.162,adsl-108-129-14-162.aby.bellsouth.net,"Linux 2.6.15 - 2.6.26 (likely embedded)",88
108.161.176.31,,"Linux 2.6.18 - 2.6.24",92
108.161.242.155,108-161-242-155.edgecastcdn.net,"OpenWrt (Linux 2.4.32)",94
108.161.44.46,108-161-44-46.ip.tor.radiant.net,"Juniper MX960 router (JUNOS 9.5R3.7)",96
108.166.160.17,cust-108-166-160-17.corexchange.com,"Juniper MX960 router (JUNOS 9.5R3.7)",91
108.177.156.27,108.177.156.27.rdns.ubiquity.io,"Microsoft Windows XP SP2 or Windows Server 2003 SP1 or SP2",97
108.177.162.217,108.177.162.217.rdns.ubiquity.io,"Microsoft Windows XP SP2 or Windows Server 2003 SP1 or SP2",97
108.179.192.169,,"Sagem My du@l radio 700 Internet radio",85
108.207.172.78,adsl-108-207-172-78.dsl.okcyok.sbcglobal.net,"F5 BIG-IP Local Traffic Manager load balancer",91
108.54.125.1,,"MOXA NPort 5210 serial device server",83
108.59.91.121,121.91.59.108.bc.googleusercontent.com,"Apple Mac OS X 10.6.6 (Snow Leopard) (Darwin 10.6.0)",80
108.60.193.5,cust-108-60-193-5.corexchange.com,"Juniper JUNOS 10.4R6.5",91
108.60.199.21,cust-108-60-199-21.corexchange.com,"Juniper MX960 router (JUNOS 9.5R3.7)",91
108.62.144.53,53.144.62.108.reverse.greetserver.com,"Microsoft Windows XP SP2 or Windows Server 2003 SP1 or SP2",97
109.104.153.252,,"MikroTik RouterOS 3.30",96
109.108.72.175,109-108-72-175.kievnet.com.ua,"Microsoft Windows XP SP2 or SP3",99
109.108.74.149,109-108-74-149.kievnet.com.ua,"Microsoft Windows Server 2008 SP2",97
109.108.75.225,109-108-75-225.kievnet.com.ua,"Linksys WRV54G WAP",97
109.108.88.45,109-108-88-45.kievnet.com.ua,"Extreme Networks Summit X450e switch (ExtremeXOS 15.3)",99
109.110.86.193,193-86-110-109.host.sevstar.net,"Microsoft Windows XP SP2",96
109.110.89.245,245-89-110-109.host.sevstar.net,"Microsoft Windows XP Professional SP2",96
109.111.100.85,m-109-111-100-85.andorpac.ad,"Linux 2.4.18 - 2.4.35 (likely embedded)",96
109.111.108.152,m-109-111-108-152.andorpac.ad,"Linux 2.4.18 - 2.4.35 (likely embedded)",96
109.111.142.37,ppp109-111-142-37.tis-dialog.ru,"Microsoft Windows Vista SP2",98
109.111.72.250,,"Linux 2.6.32 - 3.2",95
109.122.13.43,109.122.13.43.dynamic-pppoe.uch.net,"Microsoft Windows XP SP2 or SP3",95
109.122.17.84,109.122.17.84.dynamic-pppoe.uch.net,"Tomato 1.28 (Linux 2.4.20)",93
109.122.4.191,109.122.4.191.dynamic-pppoe.uch.net,"Microsoft Windows XP SP2 or Windows Server 2003 SP2",96
109.122.7.240,109.122.7.240.dynamic-pppoe.uch.net,"Microsoft Windows 7 SP1 or Windows Server 2008 SP2",95
109.123.220.7,web1.tvujweb.cz,"Linux 2.6.32 - 2.6.39",95
109.123.87.104,server1.mediawow.co.uk,"Gemtek P360 WAP or Siemens Gigaset SE515dsl wireless broadband router",96
109.123.91.23,,"Linux 2.6.24",98
109.123.99.124,,"Linux 2.6.18 - 2.6.32",95
109.124.101.105,,"Juniper MX960 router (JUNOS 9.5R3.7)",95
109.124.41.92,user-109-124-41-92.tomtelnet.ru,"Microsoft Windows XP SP2 or SP3",98
109.124.43.65,user-109-124-43-65.tomtelnet.ru,"D-Link DVG-5112S or DVG-6004S VoIP adapter",96
109.124.83.58,,"Linux 2.6.13 - 2.6.32",96
109.124.85.185,,"Juniper JUNOS 10.4R6.5",93
109.124.87.89,,"Juniper MX960 router (JUNOS 9.5R3.7)",96
109.127.103.113,,"Linksys RV042 router",94
109.127.99.128,,"Linksys RV042 router",97
109.160.116.157,109-160-116-157.ip.ggn.bg,"Linux 2.6.32 - 3.9",96
109.160.116.33,109-160-116-33.ip.ggn.bg,"Linux 2.6.32 - 3.2",95
109.160.116.77,109-160-116-77.ip.ggn.bg,"Linux 2.6.32 - 3.9",96
109.160.117.25,109-160-117-25.ip.ggn.bg,"Linux 2.6.32 - 3.9",96
109.160.118.104,109-160-118-104.ip.ggn.bg,"Linux 2.6.17 - 2.6.36",96
109.160.119.221,109-160-119-221.ip.ggn.bg,"Linux 2.6.17 - 2.6.36",96
109.160.119.223,109-160-119-223.ip.ggn.bg,"Linux 2.6.17 - 2.6.36",99
109.162.10.169,109-162-10-169-kzts.broadband.kyivstar.net,"Microsoft Windows XP SP2 or Windows Server 2003 SP2",98
109.162.102.65,109-162-102-65-svrd.broadband.kyivstar.net,"Microsoft Windows XP SP2 or Windows Server 2003 SP2",99
109.162.14.80,109-162-14-80-gprs.kyivstar.net,"Microsoft Windows 7 or Windows Server 2008 R2",99
109.162.15.116,109-162-15-116-gprs.kyivstar.net,"Microsoft Windows 7 SP0 - SP1 or Windows Server 2008",96
109.162.53.50,109-162-53-50-dne.broadband.kyivstar.net,"Microsoft Windows XP SP2 or Windows Server 2003 SP2",98
109.162.60.116,109-162-60-116-khvk.broadband.kyivstar.net,"Microsoft Windows Server 2008 SP2",97
109.162.63.140,109-162-63-140-zhvd.broadband.kyivstar.net,"Microsoft Windows XP SP2",99
109.162.77.78,109-162-77-78-prlk.broadband.kyivstar.net,"Microsoft Windows Vista",99
109.162.92.9,109-162-92-9-smln.broadband.kyivstar.net,"Microsoft Windows Server 2003",97
109.162.93.186,109-162-93-186-gprs.kyivstar.net,"Microsoft Windows XP SP2",98
109.163.224.18,109.163.224.18.reserved.voxility.com,"HP iLO 3 or iLO 4 remote management interface",98
109.163.224.189,109.163.224.189.reserved.voxility.com,"HP iLO 3 or iLO 4 remote management interface",98
109.163.224.240,109.163.224.240.reserved.voxility.com,"HP iLO 3 remote management interface",98
109.163.225.115,lh17826.voxility.net,"HP LaserJet 4250 printer",84
109.163.225.117,lh17826.voxility.net,"Linux 2.6.18 - 2.6.32",97
109.163.225.132,109.163.225.132.reserved.voxility.com,"EnGenius ESR-9250 WAP",90
109.163.225.31,lh17826.voxility.net,"Linux 2.6.32 - 3.2",98
109.163.225.74,lh17826.voxility.net,"OpenBSD 4.6",94
109.163.227.42,lh21089.voxility.net,"Linux 2.6.32 - 3.2",95
109.163.230.195,server5.internetix.ro,"Axceint Uptiva backup appliance",96
109.163.231.101,lh17271.voxility.net,"Linux 2.6.18",98
109.166.169.108,,"OpenWrt (Linux 2.4.32)",94
109.168.11.109,109.11.168.109.dsl.static.ip.kpnqwest.it,"ShoreTel ShoreGear-T1 VoIP switch",88
109.169.136.179,,"Microsoft Windows XP SP2 or Windows Server 2003 SP2",96
109.169.156.251,,"Microsoft Windows Vista SP2",98
109.169.163.211,,"Microsoft Windows Vista SP2",97
109.169.175.65,,"Microsoft Windows Vista SP2",97
109.169.47.177,thesafety.us,"Linux 2.6.18 - 2.6.32",96
109.184.126.215,109-184-126-215.dynamic.mts-nn.ru,"Microsoft Windows Vista",96
109.184.64.58,109-184-64-58.dynamic.mts-nn.ru,"Microsoft Windows XP SP2 or SP3",96
109.184.73.225,109-184-73-225.dynamic.mts-nn.ru,"Microsoft Windows Vista SP2",99
109.185.171.64,host-static-109-185-171-64.moldtelecom.md,"Microsoft Windows XP SP2 or SP3, or Windows Embedded Standard 2009",97
109.185.251.207,host-static-109-185-251-207.moldtelecom.md,"Linux 2.6.13 - 2.6.32",96
109.186.252.67,109-186-252-67.bb.netvision.net.il,"Linux 2.4.33 (embedded)",95
109.193.103.193,HSI-KBW-109-193-103-193.hsi7.kabel-badenwuerttemberg.de,"Android 4.0.4 (Linux 2.6)",96
